City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
127,Kijang,KR,35.2442,129.2139,76.15,0,9.98,clear sky
128,Victoria,HK,22.2855,114.1577,88.18,100,15.99,overcast clouds
129,Lebu,CL,-37.6167,-73.65,49.75,88,5.57,overcast clouds
130,Virginia Beach,US,36.8529,-75.978,80.02,75,5.75,broken clouds
131,Ulladulla,AU,-35.35,150.4667,56.77,74,10.16,broken clouds
132,Kozhva,RU,65.1073,57.0459,62.6,100,7.25,light rain
133,Puerto Ayora,EC,-0.7393,-90.3518,71.55,45,5.99,scattered clouds
134,Port Alfred,ZA,-33.5906,26.891,54.66,75,13.0,broken clouds
135,Vila Do Maio,CV,15.1333,-23.2167,75.99,78,15.55,broken clouds
136,Luderitz,NA,-26.6481,15.1594,57.52,0,8.46,clear sky
137,Iqaluit,CA,63.7506,-68.5145,38.7,24,20.0,few clouds
138,Chicama,PE,-7.8447,-79.1469,59.54,12,8.37,few clouds
139,Nushki,PK,29.5542,66.0215,82.53,0,7.7,clear sky
140,Mahanoro,MG,-19.9,48.8,68.05,28,4.85,scattered clouds
141,Bathsheba,BB,13.2167,-59.5167,81.21,20,17.27,few clouds
142,Mount Isa,AU,-20.7333,139.5,71.37,0,10.36,clear sky
143,La Ronge,CA,55.1001,-105.2842,57.42,75,9.22,broken clouds
144,Banjar,ID,-8.19,114.9675,82.87,13,0.67,few clouds
145,Clarksville,US,36.5298,-87.3595,89.85,0,3.44,clear sky
146,Mahebourg,MU,-20.4081,57.7,70.25,20,1.14,few clouds
147,Progreso,MX,21.2833,-89.6667,79.11,4,15.21,clear sky
148,Veendam,NL,53.1067,6.8792,56.08,100,3.47,overcast clouds
149,Aginskoye,RU,51.1,114.53,73.99,18,5.97,few clouds
150,Muncar,ID,-8.4333,114.3333,81.5,41,4.0,scattered clouds
151,Kununurra,AU,-15.7667,128.7333,76.98,5,14.97,clear sky
152,Acarau,BR,-2.8856,-40.12,76.46,10,10.69,clear sky
153,Kedrovyy,RU,56.1667,91.8167,59.41,31,6.11,scattered clouds
154,Luang Prabang,LA,19.8856,102.1347,76.6,100,1.79,overcast clouds
155,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,0,18.14,clear sky
156,Pevek,RU,69.7008,170.3133,33.73,15,9.57,few clouds
157,Castro,BR,-24.7911,-50.0119,55.36,9,3.18,clear sky
