City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Sept-Iles,CA,2022-06-06 00:25:19,50.2001,-66.3821,52.32,70,20,1.99
93,Antalaha,MG,2022-06-06 00:28:07,-14.9003,50.2788,67.05,81,1,6.93
94,Mandalgovi,MN,2022-06-06 00:28:08,45.7625,106.2708,51.93,57,100,21.68
95,Hithadhoo,MV,2022-06-06 00:28:08,-0.6,73.0833,82.54,71,91,5.35
96,Cartagena,CO,2022-06-06 00:28:08,10.3997,-75.5144,83.82,74,40,5.75
97,Villarrica,PY,2022-06-06 00:28:09,-25.75,-56.4333,67.08,89,70,5.55
98,Aripuana,BR,2022-06-06 00:28:09,-9.1667,-60.6333,79.86,61,93,2.28
99,Arraial Do Cabo,BR,2022-06-06 00:28:10,-22.9661,-42.0278,69.28,63,6,16.82
100,Mountain Home,US,2022-06-06 00:26:05,43.133,-115.6912,72.88,40,20,4.61
101,Thinadhoo,MV,2022-06-06 00:28:10,0.5333,72.9333,82.45,73,91,7.14
102,Faya,SA,2022-06-06 00:28:10,18.3851,42.4509,63.12,25,13,0.89
103,Kununurra,AU,2022-06-06 00:28:11,-15.7667,128.7333,84.18,54,59,10.36
104,Killam,CA,2022-06-06 00:28:11,52.7834,-111.8518,69.75,23,100,19.57
105,Saskylakh,RU,2022-06-06 00:28:11,71.9167,114.0833,36.34,59,56,7.61
106,Pasan,IN,2022-06-06 00:28:12,22.85,82.2,82.87,20,92,3.11
107,Coahuayana,MX,2022-06-06 00:28:12,18.7333,-103.6833,81.0,72,63,6.53
108,Atuona,PF,2022-06-06 00:28:13,-9.8,-139.0333,78.33,72,50,15.08
109,Ternate,ID,2022-06-06 00:28:13,0.8,127.4,82.33,75,86,1.25
110,Hilo,US,2022-06-06 00:28:13,19.7297,-155.09,91.27,89,100,9.22
111,Henties Bay,NA,2022-06-06 00:28:14,-22.116,14.2845,69.96,39,100,9.17
112,Mafinga,TZ,2022-06-06 00:28:14,-7.25,35.0667,60.91,76,61,3.53
113,Contadero,CO,2022-06-06 00:28:14,0.907,-77.5473,52.27,92,81,1.77
114,Buraydah,SA,2022-06-06 00:28:15,26.326,43.975,81.05,8,4,4.63
115,Mondlo,ZA,2022-06-06 00:28:15,-27.983,30.7177,50.61,83,71,0.92
116,Kabompo,ZM,2022-06-06 00:28:15,-13.5927,24.2008,54.27,61,2,8.68
117,Faranah,GN,2022-06-06 00:28:16,10.0404,-10.7434,75.06,84,99,6.53
118,Tepalcingo,MX,2022-06-06 00:28:16,18.6,-98.85,86.61,40,86,5.55
119,Kerema,PG,2022-06-06 00:28:16,-7.9631,145.7785,81.95,74,60,1.81
