City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
105,Port Blair,IN,82.81,11.6667,92.75,overcast clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
110,Manokwari,ID,82.76,-0.8667,134.0833,scattered clouds,Swiss Belhotel Manokwari
111,Vaitape,PF,80.4,-16.5167,-151.75,clear sky,Conrad Bora Bora Nui
112,Simplicio Mendes,BR,79.38,-7.8539,-41.9103,overcast clouds,Fidalgo
117,Manaquiri,BR,77.49,-3.3167,-60.35,scattered clouds,
118,Kathu,TH,85.75,7.9178,98.3332,overcast clouds,Novotel Phuket Resort
119,Buraydah,SA,84.9,26.326,43.975,clear sky,Mövenpick Qassim
123,Rodrigues Alves,BR,76.26,-7.738,-72.6509,overcast clouds,Pousada Aconchego
126,Katobu,ID,76.6,-4.9408,122.5276,heavy intensity rain,La Ode Husein
127,Kijang,KR,76.15,35.2442,129.2139,clear sky,Samyang Beach Villa
128,Victoria,HK,88.18,22.2855,114.1577,overcast clouds,Mini Central
130,Virginia Beach,US,80.02,36.8529,-75.978,broken clouds,Hilton Virginia Beach Oceanfront
135,Vila Do Maio,CV,75.99,15.1333,-23.2167,broken clouds,Hotel Marilu
139,Nushki,PK,82.53,29.5542,66.0215,clear sky,Shams hotel
141,Bathsheba,BB,81.21,13.2167,-59.5167,few clouds,Atlantis Hotel
144,Banjar,ID,82.87,-8.19,114.9675,few clouds,The Hamsa Resort
145,Clarksville,US,89.85,36.5298,-87.3595,clear sky,Riverview Inn
147,Progreso,MX,79.11,21.2833,-89.6667,clear sky,Playa Linda Hotel
150,Muncar,ID,81.5,-8.4333,114.3333,scattered clouds,Zaky Homestay
151,Kununurra,AU,76.98,-15.7667,128.7333,clear sky,Hotel Kununurra
152,Acarau,BR,76.46,-2.8856,-40.12,clear sky,castelo pizzaria
154,Luang Prabang,LA,76.6,19.8856,102.1347,overcast clouds,The Apsara
158,Hasaki,JP,75.6,35.7333,140.8333,light rain,Inubosaki Kanko Hotel
161,Champerico,GT,77.67,14.3,-91.9167,overcast clouds,"Hotel y restaurante ""El Diamante"""
163,Kavieng,PG,84.33,-2.5744,150.7967,few clouds,Nusa Island Retreat
168,Mawlaik,MM,77.38,23.6333,94.4167,overcast clouds,AKZ Guest House
169,Ugoofaaru,MV,83.07,5.6667,73.0,overcast clouds,Ungoofaaru Inn
170,Ipixuna,BR,76.39,-1.7625,-48.8043,broken clouds,Chalé do Mato
173,Chardara,KZ,76.64,41.2547,67.9692,scattered clouds,Жанаргул
187,Ati,TD,89.04,13.2154,18.3353,broken clouds,
192,Uribia,CO,85.23,11.7139,-72.266,broken clouds,Hotel Uribia
196,Khartoum,SD,89.02,15.5518,32.5324,few clouds,Hotel China
198,Harper,LR,76.66,4.375,-7.7169,light rain,Screensaver
200,Ciudad Bolivar,VE,80.87,8.1222,-63.5497,clear sky,Hotel Edi
202,Georgetown,MY,78.73,5.4112,100.3354,few clouds,Cititel Penang
205,Cabo San Lucas,MX,88.18,22.8909,-109.9124,few clouds,Vista Roof Restaurant
206,Isangel,VU,81.19,-19.55,169.2667,light rain,Tanna Lodge
208,Jiuquan,CN,80.08,39.7432,98.5174,clear sky,Jiuquan Hotel
209,Makakilo City,US,82.72,21.3469,-158.0858,overcast clouds,Marriott's Ko Olina Beach Club
215,Hithadhoo,MV,82.13,-0.6,73.0833,moderate rain,Scoop Guest House
216,Alofi,NU,80.49,-19.0595,-169.9187,broken clouds,Taloa Heights
219,Kalmunai,LK,78.55,7.4167,81.8167,light rain,VS Villa
221,Gat,IL,76.82,31.61,34.7642,clear sky,OlusHome
225,Gwadar,PK,83.07,25.1216,62.3254,broken clouds,Sadaf Resort
226,Port Hedland,AU,75.25,-20.3167,118.5667,few clouds,The Esplanade Hotel
227,Korla,CN,75.76,41.7597,86.1469,overcast clouds,Gulisitan Hotel
231,Mecca,SA,86.2,21.4267,39.8261,broken clouds,"Makkah Clock Royal Tower, A Fairmont Hotel"
233,Celestun,MX,79.38,20.8667,-90.4,broken clouds,Posada Lilia
234,Hamilton,US,86.85,39.1834,-84.5333,clear sky,Six Acres Bed & Breakfast
